Nonhuman_gene_name,Human_gene_name,Organism
Ighv1-81,IGHV1-24,Mouse
Ighv1-39,IGHV1-24,Mouse
Ighv1-62-2,IGHV1-24,Mouse
Ighv1-16,IGHV1-24,Mouse
Ighv1-43,IGHV1-24,Mouse
Ighv1-78,IGHV1-24,Mouse
Ighv1-24,IGHV1-24,Mouse
Ighv1-53,IGHV1-24,Mouse
Ighv1-84,IGHV1-24,Mouse
Ighv1-59,IGHV1-24,Mouse
Ighv1-34,IGHV1-24,Mouse
Ighv1-77,IGHV1-24,Mouse
Ighv1-74,IGHV1-24,Mouse
Ighv14-1,IGHV1-24,Mouse
Ighv1-7,IGHV1-24,Mouse
Ighv1-22,IGHV1-24,Mouse
Ighv1-15,IGHV1-24,Mouse
Ighv1-5,IGHV1-24,Mouse
Ighv1-63,IGHV1-24,Mouse
Ighv14-2,IGHV1-24,Mouse
Igkc,IGKC,Mouse
Igkv18-36,IGKV3-7,Mouse
Igkv18-36,IGKV3-11,Mouse
Ikzf2,IKZF2,Mouse
Igfn1,IGFN1,Mouse
Il13ra1,IL13RA1,Mouse
Igfals,IGFALS,Mouse
Il1a,IL1A,Mouse
Il1b,IL1B,Mouse
Igf2r,IGF2R,Mouse
Il22ra1,IL22RA1,Mouse
Il1f10,IL1F10,Mouse
Il1rn,IL1RN,Mouse
Il16,IL16,Mouse
Il17rb,IL17RB,Mouse
Il23a,IL23A,Mouse
Igsf1,IGSF1,Mouse
Il1r2,IL1R2,Mouse
Il15,IL15,Mouse
Il1rapl2,IL1RAPL2,Mouse
Il1r1,IL1R1,Mouse
Il21r,IL21R,Mouse
Il1rl2,IL1RL2,Mouse
Igfbp2,IGFBP2,Mouse
Igfbp5,IGFBP5,Mouse
Igfbp1,IGFBP1,Mouse
Il1rl1,IL1RL1,Mouse
Il18r1,IL18R1,Mouse
Ikzf5,IKZF5,Mouse
Igip,IGIP,Mouse
Igfbp3,IGFBP3,Mouse
Il15ra,IL15RA,Mouse
Il18rap,IL18RAP,Mouse
Il22,IL22,Mouse
Iltifb,IL22,Mouse
Il20rb,IL20RB,Mouse
Il12a,IL12A,Mouse
Iglc1,IGLC1,Mouse
Iglc3,IGLC1,Mouse
Iglc4,IGLC1,Mouse
Iglc2,IGLC1,Mouse
Iglc1,IGLC2,Mouse
Iglc3,IGLC2,Mouse
Iglc4,IGLC2,Mouse
Iglc2,IGLC2,Mouse
Iglc1,IGLC3,Mouse
Iglc3,IGLC3,Mouse
Iglc4,IGLC3,Mouse
Iglc2,IGLC3,Mouse
Ikbip,IKBIP,Mouse
Il20,IL20,Mouse
Il19,IL19,Mouse
Igsf10,IGSF10,Mouse
Ikbkb,IKBKB,Mouse
Il10,IL10,Mouse
Igsf23,IGSF23,Mouse
Il17rd,IL17RD,Mouse
Igfbp6,IGFBP6,Mouse
Il20ra,IL20RA,Mouse
Il12rb2,IL12RB2,Mouse
Igsf9,IGSF9,Mouse
Igsf8,IGSF8,Mouse
Il22ra2,IL22RA2,Mouse
Ino80d,INO80D,Mouse
Kctd10,KCTD10,Mouse
Il31,IL31,Mouse
Itln1,ITLN1,Mouse
Kcnk1,KCNK1,Mouse
Kctd19,KCTD19,Mouse
Itgav,ITGAV,Mouse
Kctd18,KCTD18,Mouse
Ints4,INTS4,Mouse
Kctd2,KCTD2,Mouse
Kdm2a,KDM2A,Mouse
Itga6,ITGA6,Mouse
Ivns1abp,IVNS1ABP,Mouse
Inha,INHA,Mouse
Kcnmb4,KCNMB4,Mouse
Irf6,IRF6,Mouse
Iqgap3,IQGAP3,Mouse
Kctd13,KCTD13,Mouse
Kcnh1,KCNH1,Mouse
Il4i1,IL4I1,Mouse
Inpp1,INPP1,Mouse
Isg20l2,ISG20L2,Mouse
Insrr,INSRR,Mouse
Ino80e,INO80E,Mouse
Kcne4,KCNE4,Mouse
Ints7,INTS7,Mouse
Irs1,IRS1,Mouse
Kcnc2,KCNC2,Mouse
Ing5,ING5,Mouse
Incenp,INCENP,Mouse
Inpp5f,INPP5F,Mouse
Jun,JUN,Mouse
Itpk1,ITPK1,Mouse
Itgb1,ITGB1,Mouse
Irgq,IRGQ,Mouse
Isy1,ISY1,Mouse
Irf5,IRF5,Mouse
Kbtbd3,KBTBD3,Mouse
Kdf1,KDF1,Mouse
Iqsec2,IQSEC2,Mouse
Kcnd2,KCND2,Mouse
Itfg1,ITFG1,Mouse
Jmjd6,JMJD6,Mouse
Jmjd8,JMJD8,Mouse
Itgb5,ITGB5,Mouse
Impact,IMPACT,Mouse
Itga9,ITGA9,Mouse
Iqcc,IQCC,Mouse
Irf4,IRF4,Mouse
Inppl1,INPPL1,Mouse
Kdm5d,KDM5D,Mouse
Itsn2,ITSN2,Mouse
Kcnk9,KCNK9,Mouse
Jarid2,JARID2,Mouse
Il7,IL7,Mouse
Jund,JUND,Mouse
Kdm1b,KDM1B,Mouse
Ing4,ING4,Mouse
Kctd15,KCTD15,Mouse
Kcnj4,KCNJ4,Mouse
Il6,IL6,Mouse
Kdelr3,KDELR3,Mouse
Kctd21,KCTD21,Mouse
Jdp2,JDP2,Mouse
Jazf1,JAZF1,Mouse
Katnal1,KATNAL1,Mouse
Gm42791,KATNAL1,Mouse
Kcnv2,KCNV2,Mouse
Inafm1,INAFM1,Mouse
Itga2b,ITGA2B,Mouse
Kcna4,KCNA4,Mouse
Kcns2,KCNS2,Mouse
Ints10,INTS10,Mouse
Irx1,IRX1,Mouse
Kdm4a,KDM4A,Mouse
Kat7,KAT7,Mouse
Kcnj6,KCNJ6,Mouse
Iqck,IQCK,Mouse
Itga11,ITGA11,Mouse
Il7r,IL7R,Mouse
Isyna1,ISYNA1,Mouse
Ints8,INTS8,Mouse
Kcnj15,KCNJ15,Mouse
Jagn1,JAGN1,Mouse
Kdm5a,KDM5A,Mouse
Itm2b,ITM2B,Mouse
Kcns3,KCNS3,Mouse
Itgae,ITGAE,Mouse
Jrkl,JRKL,Mouse
Il5ra,IL5RA,Mouse
Irs2,IRS2,Mouse
Jade2,JADE2,Mouse
Iqcg,IQCG,Mouse
Isl2,ISL2,Mouse
Inpp5k,INPP5K,Mouse
Kcnj11,KCNJ11,Mouse
Immp1l,IMMP1L,Mouse
Inpp5j,INPP5J,Mouse
Kank1,KANK1,Mouse
Islr2,ISLR2,Mouse
Kcnk4,KCNK4,Mouse
Islr,ISLR,Mouse
Josd1,JOSD1,Mouse
Kat2a,KAT2A,Mouse
Kcnh5,KCNH5,Mouse
Kcnv1,KCNV1,Mouse
Inca1,INCA1,Mouse
Irak2,IRAK2,Mouse
Il33,IL33,Mouse
Kdelr2,KDELR2,Mouse
Jade1,JADE1,Mouse
Jakmip2,JAKMIP2,Mouse
Jmjd1c,JMJD1C,Mouse
Iqgap1,IQGAP1,Mouse
Il31ra,IL31RA,Mouse
Il4,IL4,Mouse
Ipcef1,IPCEF1,Mouse
Katna1,KATNA1,Mouse
Kdelr1,KDELR1,Mouse
Ipo13,IPO13,Mouse
Kcnj14,KCNJ14,Mouse
Kcnh8,KCNH8,Mouse
Jchain,JCHAIN,Mouse
Iqgap2,IQGAP2,Mouse
Jmjd7,JMJD7,Mouse
Ina,INA,Mouse
Kctd1,KCTD1,Mouse
Kcnk12,KCNK12,Mouse
Kdelc2,KDELC2,Mouse
Kbtbd8,KBTBD8,Mouse
Itgb2,ITGB2,Mouse
Itgb2l,ITGB2,Mouse
Ireb2,IREB2,Mouse
Kcnh6,KCNH6,Mouse
Kcnq5,KCNQ5,Mouse
Jak3,JAK3,Mouse
Ip6k2,IP6K2,Mouse
Kctd5,KCTD5,Mouse
Inip,INIP,Mouse
Isg20,ISG20,Mouse
Ip6k1,IP6K1,Mouse
Kcnk7,KCNK7,Mouse
Kctd11,KCTD11,Mouse
Il6st,IL6ST,Mouse
Kcnk10,KCNK10,Mouse
Kcnh4,KCNH4,Mouse
Kat2b,KAT2B,Mouse
Kcnf1,KCNF1,Mouse
Inpp5b,INPP5B,Mouse
Kcnma1,KCNMA1,Mouse
Kcnab3,KCNAB3,Mouse
Ipmk,IPMK,Mouse
Kcnn1,KCNN1,Mouse
Impa2,IMPA2,Mouse
Kcng3,KCNG3,Mouse
Insr,INSR,Mouse
Kdm4c,KDM4C,Mouse
Katnbl1,KATNBL1,Mouse
Itpkc,ITPKC,Mouse
Il3,IL3,Mouse
Ilk,ILK,Mouse
Kdm6a,KDM6A,Mouse
Itga3,ITGA3,Mouse
Irak4,IRAK4,Mouse
Jph4,JPH4,Mouse
Junb,JUNB,Mouse
Kctd4,KCTD4,Mouse
Immp2l,IMMP2L,Mouse
Itfg2,ITFG2,Mouse
Kcnab2,KCNAB2,Mouse
Itpripl2,ITPRIPL2,Mouse
Imp3,IMP3,Mouse
Inpp5e,INPP5E,Mouse
Jph1,JPH1,Mouse
Kcng2,KCNG2,Mouse
Il25,IL25,Mouse
Kcne2,KCNE2,Mouse
Intu,INTU,Mouse
Itsn1,ITSN1,Mouse
Ints2,INTS2,Mouse
Ino80c,INO80C,Mouse
Ing1,ING1,Mouse
Itih1,ITIH1,Mouse
Ints1,INTS1,Mouse
Ints9,INTS9,Mouse
Izumo1,IZUMO1,Mouse
Irf2bp1,IRF2BP1,Mouse
Itih3,ITIH3,Mouse
Kcne1,KCNE1,Mouse
Kat5,KAT5,Mouse
Itpa,ITPA,Mouse
Iqcf6,IQCF6,Mouse
Iqsec1,IQSEC1,Mouse
Iqcf3,IQCF3,Mouse
Iqcf5,IQCF5,Mouse
Iqcf1,IQCF1,Mouse
Il27,IL27,Mouse
Izumo1r,IZUMO1R,Mouse
Kdm3b,KDM3B,Mouse
Impa1,IMPA1,Mouse
Impg2,IMPG2,Mouse
Insc,INSC,Mouse
Kcnip4,KCNIP4,Mouse
Kdm4b,KDM4B,Mouse
Kctd16,KCTD16,Mouse
Il9,IL9,Mouse
Ipo7,IPO7,Mouse
Kcnn2,KCNN2,Mouse
Itgb1bp2,ITGB1BP2,Mouse
Itpr2,ITPR2,Mouse
Il5,IL5,Mouse
Irf1,IRF1,Mouse
Kcnb1,KCNB1,Mouse
Itih4,ITIH4,Mouse
Kcnmb3,KCNMB3,Mouse
Iqch,IQCH,Mouse
Ispd,ISPD,Mouse
Ints11,INTS11,Mouse
Insm2,INSM2,Mouse
Inpp4a,INPP4A,Mouse
Kansl1,KANSL1,Mouse
Ipo8,IPO8,Mouse
Itpr1,ITPR1,Mouse
Kansl1l,KANSL1L,Mouse
Isoc1,ISOC1,Mouse
Ipo5,IPO5,Mouse
Kcmf1,KCMF1,Mouse
Kcnd3,KCND3,Mouse
Ilvbl,ILVBL,Mouse
Kcnip1,KCNIP1,Mouse
Ints13,INTS13,Mouse
Inf2,INF2,Mouse
Kcnmb1,KCNMB1,Mouse
Kcnj1,KCNJ1,Mouse
Kcnt2,KCNT2,Mouse
Kcnj5,KCNJ5,Mouse
Jph3,JPH3,Mouse
Itga7,ITGA7,Mouse
Kdm1a,KDM1A,Mouse
Itgb3bp,ITGB3BP,Mouse
Insig2,INSIG2,Mouse
Gm20489,IL2RG,Mouse
Il2rg,IL2RG,Mouse
Ino80,INO80,Mouse
Jam3,JAM3,Mouse
Kctd7,KCTD7,Mouse
Jph2,JPH2,Mouse
Kcnd1,KCND1,Mouse
Kcnj8,KCNJ8,Mouse
Itgb3,ITGB3,Mouse
Immt,IMMT,Mouse
Kazald1,KAZALD1,Mouse
Kcnq3,KCNQ3,Mouse
Jrk,JRK,Mouse
Jpt2,JPT2,Mouse
Kcnh3,KCNH3,Mouse
Irf9,IRF9,Mouse
Itih5,ITIH5,Mouse
Jak1,JAK1,Mouse
Jakmip1,JAKMIP1,Mouse
Kcnj16,KCNJ16,Mouse
Inhbc,INHBC,Mouse
Inhbe,INHBE,Mouse
Izumo4,IZUMO4,Mouse
Kbtbd2,KBTBD2,Mouse
Kcnj2,KCNJ2,Mouse
Kcna7,KCNA7,Mouse
Jcad,JCAD,Mouse
Ilf3,ILF3,Mouse
Itih2,ITIH2,Mouse
Kdm4d,KDM4D,Mouse
Kars,KARS,Mouse
Inhbb,INHBB,Mouse
Itk,ITK,Mouse
Jtb,JTB,Mouse
Kdm3a,KDM3A,Mouse
Kbtbd7,KBTBD6,Mouse
Kbtbd6,KBTBD6,Mouse
Kctd17,KCTD17,Mouse
Kbtbd7,KBTBD7,Mouse
Kbtbd6,KBTBD7,Mouse
Jmy,JMY,Mouse
Kcnj3,KCNJ3,Mouse
Irf7,IRF7,Mouse
Jag1,JAG1,Mouse
Ilf2,ILF2,Mouse
Jag2,JAG2,Mouse
Isg15,ISG15,Mouse
Kat8,KAT8,Mouse
Itpr3,ITPR3,Mouse
Itgb6,ITGB6,Mouse
Kcnq4,KCNQ4,Mouse
Kcnk15,KCNK15,Mouse
Impad1,IMPAD1,Mouse
Kcnrg,KCNRG,Mouse
Isl1,ISL1,Mouse
Inmt,INMT,Mouse
Kank4,KANK4,Mouse
Ints3,INTS3,Mouse
Ipo9,IPO9,Mouse
Kcnk5,KCNK5,Mouse
Itgbl1,ITGBL1,Mouse
Kcnk6,KCNK6,Mouse
Il2rb,IL2RB,Mouse
Inafm2,INAFM2,Mouse
Kank3,KANK3,Mouse
Kcnk16,KCNK16,Mouse
Kctd8,KCTD8,Mouse
Jakmip3,JAKMIP3,Mouse
Kcng4,KCNG4,Mouse
Izumo2,IZUMO2,Mouse
Il9r,IL9R,Mouse
Itga1,ITGA1,Mouse
Ism1,ISM1,Mouse
Irf2bpl,IRF2BPL,Mouse
Kat6b,KAT6B,Mouse
Itga2,ITGA2,Mouse
Ip6k3,IP6K3,Mouse
Ipo4,IPO4,Mouse
Kcnk18,KCNK18,Mouse
Katnal2,KATNAL2,Mouse
Kcnk13,KCNK13,Mouse
Invs,INVS,Mouse
Izumo3,IZUMO3,Mouse
Kbtbd13,KBTBD13,Mouse
Itgal,ITGAL,Mouse
Jam2,JAM2,Mouse
Kcne3,KCNE3,Mouse
Kcnq2,KCNQ2,Mouse
Kcnn4,KCNN4,Mouse
Impdh2,IMPDH2,Mouse
Insm1,INSM1,Mouse
Kcnj12,KCNJ12,Mouse
Impg1,IMPG1,Mouse
Irx3,IRX3,Mouse
Jade3,JADE3,Mouse
Irak1,IRAK1,Mouse
Irak1bp1,IRAK1BP1,Mouse
Ivd,IVD,Mouse
Inpp5a,INPP5A,Mouse
Ints5,INTS5,Mouse
Kcna6,KCNA6,Mouse
Irx5,IRX5,Mouse
Kcns1,KCNS1,Mouse
Irx6,IRX6,Mouse
Jsrp1,JSRP1,Mouse
Kcnip3,KCNIP3,Mouse
Kcnh7,KCNH7,Mouse
Kbtbd12,KBTBD12,Mouse
Kdelc1,KDELC1,Mouse
Kcnc3,KCNC3,Mouse
Kcnh2,KCNH2,Mouse
Kbtbd4,KBTBD4,Mouse
Itgb8,ITGB8,Mouse
Iqcb1,IQCB1,Mouse
Irf3,IRF3,Mouse
Itgb1bp1,ITGB1BP1,Mouse
Kcnq1,KCNQ1,Mouse
Iqcd,IQCD,Mouse
Ing2,ING2,Mouse
Jup,JUP,Mouse
Kcnip2,KCNIP2,Mouse
Kank2,KANK2,Mouse
Ipo11,IPO11,Mouse
Ippk,IPPK,Mouse
Ist1,IST1,Mouse
Kcng1,KCNG1,Mouse
Kcnu1,KCNU1,Mouse
Isca2,ISCA2,Mouse
Itgam,ITGAM,Mouse
Gm49368,ITGAM,Mouse
Kcnk2,KCNK2,Mouse
Kcnn3,KCNN3,Mouse
Ildr1,ILDR1,Mouse
Impdh1,IMPDH1,Mouse
Irak3,IRAK3,Mouse
Kat6a,KAT6A,Mouse
Kctd3,KCTD3,Mouse
Kcna1,KCNA1,Mouse
Itgax,ITGAX,Mouse
Itpkb,ITPKB,Mouse
Ipp,IPP,Mouse
Kdm5b,KDM5B,Mouse
Irf8,IRF8,Mouse
Inpp4b,INPP4B,Mouse
Ino80b,INO80B,Mouse
Insl5,INSL5,Mouse
Kcna5,KCNA5,Mouse
Ints12,INTS12,Mouse
Itgad,ITGAD,Mouse
Imp4,IMP4,Mouse
Irf2,IRF2,Mouse
Kcnab1,KCNAB1,Mouse
4931417E11Rik,JKAMP,Mouse
Jkamp,JKAMP,Mouse
Kdm5c,KDM5C,Mouse
Itgb4,ITGB4,Mouse
Kcnc4,KCNC4,Mouse
Jmjd4,JMJD4,Mouse
Itm2c,ITM2C,Mouse
Ints14,INTS14,Mouse
Iqsec3,IQSEC3,Mouse
Ildr2,ILDR2,Mouse
Insig1,INSIG1,Mouse
Kctd9,KCTD9,Mouse
Kcnc1,KCNC1,Mouse
Irx2,IRX2,Mouse
Kbtbd11,KBTBD11,Mouse
Itpka,ITPKA,Mouse
Kalrn,KALRN,Mouse
Il27ra,IL27RA,Mouse
Ints6,INTS6,Mouse
Itga8,ITGA8,Mouse
Jak2,JAK2,Mouse
Kcnt1,KCNT1,Mouse
Insl6,INSL6,Mouse
Isx,ISX,Mouse
Kctd6,KCTD6,Mouse
Iyd,IYD,Mouse
Kctd14,KCTD14,Mouse
Itch,ITCH,Mouse
Inhba,INHBA,Mouse
Kazn,KAZN,Mouse
Irx4,IRX4,Mouse
Kctd12,KCTD12,Mouse
Irs4,IRS4,Mouse
Kansl3,KANSL3,Mouse
Itga5,ITGA5,Mouse
Ilkap,ILKAP,Mouse
Irf2bp2,IRF2BP2,Mouse
Inpp5d,INPP5D,Mouse
Il34,IL34,Mouse
Kdm2b,KDM2B,Mouse
Iscu,ISCU,Mouse
Iqub,IQUB,Mouse
Itm2a,ITM2A,Mouse
Kcnj13,KCNJ13,Mouse
Il24,IL24,Mouse
Itga4,ITGA4,Mouse
Itga10,ITGA10,Mouse
Iqcj,IQCJ,Mouse
Iws1,IWS1,Mouse
Kctd20,KCTD20,Mouse
AK157302,ISCA1,Mouse
Isca1,ISCA1,Mouse
Josd2,JOSD2,Mouse
Kcnk3,KCNK3,Mouse
Ing3,ING3,Mouse
Kansl2,KANSL2,Mouse
Katnb1,KATNB1,Mouse
Kcp,KCP,Mouse
Kcna10,KCNA10,Mouse
Il23r,IL23R,Mouse
Kcna2,KCNA2,Mouse
Ism2,ISM2,Mouse
Kcnmb2,KCNMB2,Mouse
Il2ra,IL2RA,Mouse
Kcna3,KCNA3,Mouse
Itpripl1,ITPRIPL1,Mouse
Kcnj10,KCNJ10,Mouse
Kcnj9,KCNJ9,Mouse
Itgb7,ITGB7,Mouse
Klhdc9,KLHDC9,Mouse
Lclat1,LCLAT1,Mouse
Lbh,LBH,Mouse
Lamc2,LAMC2,Mouse
Kifap3,KIFAP3,Mouse
Kif1a,KIF1A,Mouse
Klf7,KLF7,Mouse
Lamb3,LAMB3,Mouse
Klhl20,KLHL20,Mouse
Kntc1,KNTC1,Mouse
Kera,KERA,Mouse
Kmo,KMO,Mouse
Lat2,LAT2,Mouse
Kif1b,KIF1B,Mouse
Kif2b,KIF2B,Mouse
Kifc2,KIFC2,Mouse
Kmt2a,KMT2A,Mouse
Klhdc7b,KLHDC7B,Mouse
Kit,KIT,Mouse
Klhdc7a,KLHDC7A,Mouse
Ldb2,LDB2,Mouse
Kdr,KDR,Mouse
Kif18a,KIF18A,Mouse
Lat,LAT,Mouse
Kdsr,KDSR,Mouse
Kl,KL,Mouse
Klf13,KLF13,Mouse
Klhl8,KLHL8,Mouse
Krtap24-1,KRTAP24-1,Mouse
Krtap26-1,KRTAP26-1,Mouse
Krtap27-1,KRTAP27-1,Mouse
Krtap13-1,KRTAP13-1,Mouse
Klhl21,KLHL21,Mouse
Knop1,KNOP1,Mouse
Kif11,KIF11,Mouse
Larp1b,LARP1B,Mouse
Kif12,KIF12,Mouse
Klhl3,KLHL3,Mouse
Kif2c,KIF2C,Mouse
Krtap9-5,KRTAP10-4,Mouse
Gm10142,KRTAP10-4,Mouse
Gm10100,KRTAP10-4,Mouse
Krtap12-1,KRTAP10-4,Mouse
Gm10272,KRTAP10-4,Mouse
Gm10024,KRTAP10-4,Mouse
Gm36176,KRTAP10-4,Mouse
Gm19402,KRTAP10-4,Mouse
Gm18596,KRTAP10-4,Mouse
Gm9507,KRTAP10-4,Mouse
Krtap10-10,KRTAP10-4,Mouse
Gm3285,KRTAP10-4,Mouse
Krtap10-4,KRTAP10-4,Mouse
Gm9736,KRTAP10-4,Mouse
Gm2696,KRTAP10-4,Mouse
Gm10318,KRTAP10-4,Mouse
Gm7138,KRTAP10-4,Mouse
Gm3238,KRTAP10-4,Mouse
Gm3233,KRTAP10-4,Mouse
Gm3250,KRTAP10-4,Mouse
Gm7137,KRTAP10-4,Mouse
Gm9639,KRTAP10-4,Mouse
Gm9508,KRTAP10-4,Mouse
Gm19668,KRTAP10-4,Mouse
Gm40460,KRTAP10-4,Mouse
Krtap5-2,KRTAP10-4,Mouse
Gm45618,KRTAP10-4,Mouse
Gm4559,KRTAP10-4,Mouse
Krtap4-16,KRTAP10-4,Mouse
Klhl25,KLHL25,Mouse
Lats2,LATS2,Mouse
Gm49361,LATS2,Mouse
Krtap8-1,KRTAP8-1,Mouse
Krtap7-1,KRTAP7-1,Mouse
Krtap11-1,KRTAP11-1,Mouse
Lck,LCK,Mouse
Krtdap,KRTDAP,Mouse
Klhl31,KLHL31,Mouse
Lamtor1,LAMTOR1,Mouse
Klf6,KLF6,Mouse
Ky,KY,Mouse
Klhl7,KLHL7,Mouse
Klk1b26,KLK1,Mouse
Klk1b5,KLK1,Mouse
Klk1b21,KLK1,Mouse
Klk1b27,KLK1,Mouse
Klk1b11,KLK1,Mouse
Klk1b1,KLK1,Mouse
Klk1b16,KLK1,Mouse
Klk1b8,KLK1,Mouse
Klk1b3,KLK1,Mouse
Klk1b4,KLK1,Mouse
Klk1b9,KLK1,Mouse
Klk1,KLK1,Mouse
Klk1b24,KLK1,Mouse
Klk1b22,KLK1,Mouse
Klk15,KLK15,Mouse
Kmt2b,KMT2B,Mouse
Lap3,LAP3,Mouse
Kif17,KIF17,Mouse
Kdm6b,KDM6B,Mouse
Lctl,LCTL,Mouse
Kif3a,KIF3A,Mouse
Lcmt2,LCMT2,Mouse
Klhl35,KLHL35,Mouse
Lcorl,LCORL,Mouse
Lats1,LATS1,Mouse
Kif1c,KIF1C,Mouse
Klk4,KLK4,Mouse
Klk6,KLK6,Mouse
Klk9,KLK9,Mouse
Klk8,KLK8,Mouse
Krtcap3,KRTCAP3,Mouse
Klk7,KLK7,Mouse
Klk5,KLK5,Mouse
Laptm4a,LAPTM4A,Mouse
Ldb3,LDB3,Mouse
Lama3,LAMA3,Mouse
Kxd1,KXD1,Mouse
Kif23,KIF23,Mouse
Lacc1,LACC1,Mouse
Klhdc1,KLHDC1,Mouse
Klf16,KLF16,Mouse
Klhdc2,KLHDC2,Mouse
Klk10,KLK10,Mouse
Ldah,LDAH,Mouse
Lcmt1,LCMT1,Mouse
Kpna4,KPNA4,Mouse
Lasp1,LASP1,Mouse
Klhl2,KLHL2,Mouse
Klk11,KLK11,Mouse
Kptn,KPTN,Mouse
Klk12,KLK12,Mouse
Khsrp,KHSRP,Mouse
Klk13,KLK13,Mouse
Kif20a,KIF20A,Mouse
Kif7,KIF7,Mouse
Kif22,KIF22,Mouse
Klhdc3,KLHDC3,Mouse
Lag3,LAG3,Mouse
Klhl4,KLHL4,Mouse
Klk14,KLK14,Mouse
Lama2,LAMA2,Mouse
Khdrbs2,KHDRBS2,Mouse
Lactb2,LACTB2,Mouse
Kpna1,KPNA1,Mouse
Keap1,KEAP1,Mouse
Kifc1,KIFC1,Mouse
Kifc5b,KIFC1,Mouse
Lcp2,LCP2,Mouse
Klhl26,KLHL26,Mouse
Klf9,KLF9,Mouse
Lcn2,LCN2,Mouse
L3mbtl3,L3MBTL3,Mouse
Kif3b,KIF3B,Mouse
Klhl29,KLHL29,Mouse
Lamp1,LAMP1,Mouse
Kri1,KRI1,Mouse
Lcn12,LCN12,Mouse
Klhdc10,KLHDC10,Mouse
L3mbtl2,L3MBTL2,Mouse
Klf15,KLF15,Mouse
Kremen2,KREMEN2,Mouse
Klf8,KLF8,Mouse
Kif26a,KIF26A,Mouse
Lcn6,LCN6,Mouse
Lcn10,LCN10,Mouse
Klhl14,KLHL14,Mouse
Lactbl1,LACTBL1,Mouse
Klf10,KLF10,Mouse
Klhdc4,KLHDC4,Mouse
Kif26b,KIF26B,Mouse
Kpna2,KPNA2,Mouse
Gm10184,KPNA2,Mouse
Krcc1,KRCC1,Mouse
Klf17,KLF17,Mouse
Ldhd,LDHD,Mouse
Kif13b,KIF13B,Mouse
Ldhc,LDHC,Mouse
Lancl1,LANCL1,Mouse
Kremen1,KREMEN1,Mouse
Lcp1,LCP1,Mouse
Lamp5,LAMP5,Mouse
Lage3,LAGE3,Mouse
Klf1,KLF1,Mouse
Klc4,KLC4,Mouse
Krt222,KRT222,Mouse
Ldhb,LDHB,Mouse
Lcn8,LCN8,Mouse
Kmt2e,KMT2E,Mouse
Laptm4b,LAPTM4B,Mouse
Laptm5,LAPTM5,Mouse
Lbx1,LBX1,Mouse
Kir3dl2,KIR3DL1,Mouse
Kir3dl1,KIR3DL1,Mouse
Khk,KHK,Mouse
Klhl33,KLHL33,Mouse
Kprp,KPRP,Mouse
Klf3,KLF3,Mouse
Klhl9,KLHL9,Mouse
Kif24,KIF24,Mouse
Lama4,LAMA4,Mouse
Kif14,KIF14,Mouse
Lct,LCT,Mouse
Klf14,KLF14,Mouse
Klhl13,KLHL13,Mouse
Kpna7,KPNA7,Mouse
Klrd1,KLRD1,Mouse
Kir3dl2,KIR3DL2,Mouse
Kir3dl1,KIR3DL2,Mouse
Kif27,KIF27,Mouse
Kin,KIN,Mouse
Kif1bp,KIF1BP,Mouse
L2hgdh,L2HGDH,Mouse
Kif21b,KIF21B,Mouse
Klhl1,KLHL1,Mouse
Klc1,KLC1,Mouse
L1cam,L1CAM,Mouse
Ldhal6b,LDHAL6B,Mouse
Klhl42,KLHL42,Mouse
Kel,KEL,Mouse
Klhl5,KLHL5,Mouse
Kpna3,KPNA3,Mouse
Kif5c,KIF5C,Mouse
Krt80,KRT80,Mouse
Klrk1,KLRK1,Mouse
Las1l,LAS1L,Mouse
Klhl38,KLHL38,Mouse
L1td1,L1TD1,Mouse
Klhl22,KLHL22,Mouse
Klc2,KLC2,Mouse
Kiss1r,KISS1R,Mouse
Kif5a,KIF5A,Mouse
Larp4b,LARP4B,Mouse
Krt7,KRT7,Mouse
Lad1,LAD1,Mouse
Klrg1,KLRG1,Mouse
Krt9,KRT9,Mouse
Larp1,LARP1,Mouse
Kif3c,KIF3C,Mouse
Krt14,KRT14,Mouse
Krt16,KRT16,Mouse
Kirrel2,KIRREL2,Mouse
Kynu,KYNU,Mouse
4922502D21Rik,KLRC2,Mouse
Klre1,KLRC2,Mouse
Gm156,KLRC2,Mouse
Klri1,KLRC2,Mouse
Klri2,KLRC2,Mouse
4922502D21Rik,KLRC3,Mouse
Klre1,KLRC3,Mouse
Gm156,KLRC3,Mouse
Klri1,KLRC3,Mouse
Klri2,KLRC3,Mouse
4922502D21Rik,KLRC1,Mouse
Klre1,KLRC1,Mouse
Gm156,KLRC1,Mouse
Klri1,KLRC1,Mouse
Klri2,KLRC1,Mouse
Krt17,KRT17,Mouse
Lca5,LCA5,Mouse
Krt24,KRT24,Mouse
Lama5,LAMA5,Mouse
Krt25,KRT25,Mouse
Krt26,KRT26,Mouse
Krt27,KRT27,Mouse
Kif16b,KIF16B,Mouse
Klrg2,KLRG2,Mouse
Kpnb1,KPNB1,Mouse
Klf5,KLF5,Mouse
Krt28,KRT28,Mouse
Klf12,KLF12,Mouse
Krt10,KRT10,Mouse
Klhl6,KLHL6,Mouse
Kif18b,KIF18B,Mouse
Krt12,KRT12,Mouse
Kif6,KIF6,Mouse
Gm12666,LARP7,Mouse
Larp7,LARP7,Mouse
Knstrn,KNSTRN,Mouse
